Abridged File Name,Recommendation,Title,Date,Box: Folder,Notes,,
loose_0077,Good for digital collection,Chicago Cafe menu,07-18-1955,1:11,,,
loose_0078,Good for digital collection,Chicago Cafe menu,07-21-1955,1:11,,,
loose_0079,Good for digital collection,Chicago Cafe menu,07-19-1955,1:11,,,
loose_0080,Good for digital collection,Chicago Cafe Thanksgiving menu,,1:11,1953 or 1959 (probably 1959),,
loose_0081,Good for digital collection,Chicago Cafe Christmas menu,,1:11,1959?,,
loose_0082,OK for collection,verso (part of a carbon paper package),,1.11,Used as a makeshift menu folder for the stack of 1933 menus,,
loose_0083,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-03-1933,1:11,,,
loose_0084,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-10-1933,1:11,,,
loose_0085,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-10-1933,1:11,,,
loose_0086,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-12-1933,1:11,,,
loose_0087,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-18-1933,1:11,,,
loose_0088,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-13-1933,1:11,,,
loose_0089,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-09-1933,1:11,,,
loose_0090,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-14-1993,1:11,,,
loose_0091,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-15-1933,1:11,,,
loose_0092,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-16-1933,1:11,,,
loose_0093,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-17-1933,1:11,,,
loose_0094,Good for digital collection,Partial Chicago Cafe menu: China Dishes,,1:10,,,
loose_0095,OK for collection,verso,,1.7,,,
loose_0096,OK for collection,verso (airmail stamps),,1.7,,,
loose_0097,OK for collection,verso here and down until noted otherwise,,1.7,,,
loose_0098,OK for collection,Dennison Nature Seals,,Digital only,,,
loose_0099,Good for digital collection,Donation receipt for John Yee for the Confucius Church of Sacramento,08-22-1956,1.7,,,
loose_0100,Good for digital collection,Mailed envelope addressed to the Chicago Cafe,,1.7,,,
loose_0101,Good for digital collection,Mailed envelope addressed to the Chicago Cafe,,1.7,,,
loose_0102,OK for collection,Unlabeled airmail envelope,,1.7,,,
loose_0103,OK for collection,Unlabeled airmail envelope,,1.7,,,
loose_0104,Good for digital collection,Envelope addressed from Wing Yet to Hon Hing Lung,,1.7,,,
loose_0105,Good for digital collection,Clipping advertisement for the Chicago Restaurant with photo of proprietors behind the counter,10-25-1963,1.7,,,
loose_0106,OK for collection,Map of Sunnyvale,,Digital only,significance not clear,,
loose_0107,Good for digital collection,Unidentified menu (likely Chicago Cafe),,1:23,,,
loose_0108,Good for digital collection,Clipping of Miss America photograph,1944,1:24,,,
loose_0109,Good for digital collection,Photo of ad page in the The Ilex (Woodland High School) featuring Chicago Restaurant,1915,Digital only,,,
loose_0110,Good for digital collection,Photo detail of Chicago Restaurant ad in The Ilex (Woodland High School),1915,Digital only,,,
loose_0111,OK for collection,,,Digital only,,,
loose_0112,OK for collection,,,Digital only,,,
loose_0113,Good for digital collection,Photo of The Ilex (Woodland High School) cover,1915,Digital only,,,
loose_0114,Good for digital collection,Chicago Cafe meal ticket for $20,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0115,Good for digital collection,Chicago Cafe meal ticket for $10,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0116,Good for digital collection,Chicago Cafe meal ticket for $10,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0117,OK for collection,,,2,,,
loose_0118,OK for collection,,,2,,,
loose_0119,OK for collection,,,2.3,,,
loose_0120,Good for digital collection,Chicago Restaurant business card ,,1:21,,,"was originall in Grouped 20, seperated out"
loose_0121,OK for collection,"Chicago Restaurant Since 1903 Business card, nearly identical to 121",,1:21,,,"was originall in Grouped 20, seperated out"
loose_0122,Good for digital collection,Chicago Cafe guest check ,,1:21,,,"was originall in Grouped , seperated out"
loose_0123,Good for digital collection,"Golden Wok Restaurant (Sacramento, CA) Menu ",,1:23,,,"was originall in Grouped 55, seperated out"
Moved to Grouped and renamed ,,,,,,,
loose_0004,Good for digital collection,Chicago Cafe menu (part 1),,1.2,1920s - 1940s based on address and phone number--combine?,John,Became Grouped_118
loose_0005,Good for digital collection,Chicago Cafe menus (part 2),,1.2,1920s - 1940s based on address and phone number--combine? Featured item,John,Became Grouped_118
loose_0028,Good for digital collection,War Ration Stamp booklet,05-07-1942,1:8,[three images],John will move to Grouped,Chicago_Cafe_Grouped_117
loose_0030,Good for digital collection,"Canton Restaurant (Woodland, CA) menu",,1:8,[three images],John will move to Grouped,Became Grouped_119
loose_0068,Good for digital collection,Chicago Cafe menu,,1:3,1920s - 1940s based on address and phone number; Part of 1 menu?--combine,,became Grouped_120
loose_0069,Good for digital collection,Chicago Cafe menu,,1:3,1920s - 1940s based on address and phone number; Part of 2 menu?--combine,,became Grouped_120
loose_0112,Good for digital collection,"Letter from the Mandarin Cafe (Waterloo, IA) to the Chicago Cafe in Chinese",12-11-1945,1.7,Goes with 0113,John: new grouped item,became Grouped_121
loose_0113,Good for digital collection,Envelope for the Mandarin Cafe letter,12-11-1945,1.7,Envelope for 0112,John: new grouped item,became Grouped_121
loose_0116,Good for digital collection,"Letter to Cobb Block partners, including the Chicago Cafe",1986,Digital only,,John: new grouped item,became Grouped_122
loose_0117,Good for digital collection,Goes with 0116,,Digital only,Should be combined with 0116,John: new grouped item,became Grouped_122
loose_0118,Good for digital collection,"Goes with 0116 (mentions structure behind Chicago Cafe as ""oldest Chinese structure"")",,Digital only,Should be combined with 0116,John: new grouped item,became Grouped_122
